conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Seats, Claire",,,,52,52,173.0,65.0,80.0,85.0,24.0,0.0,23.0,13.0,4.0,3.0,9.0,1.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.495,173.0,195.0,5.0,1.0,0.462,1.0,78.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,0.988,0.0,0.0,3.0,4.0,14.0,73.0,"21,51",0.41,21.0,51.0,"51,107",0.48,51.0,107.0,"34,66",0.52,34.0,66.0,"7,15",0.47,7.0,15.0,0,0.0,0.0,0.0,"17,33","14,20","70,121",78,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.666931145179017,1,99
nwc,Northwest Conference (NWC),2025-26,softball,George Fox ,Sharon Tomei,,,,43,43,131.0,41.0,64.0,47.0,10.0,1.0,22.0,17.0,0.0,4.0,10.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.552,142.0,154.0,1.0,1.0,0.489,1.084,245.0,5.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,254.0,0.984,0.0,0.0,1.0,1.0,14.0,44.0,"9,27",0.33,9.0,27.0,"29,54",0.54,29.0,54.0,"17,29",0.59,17.0,29.0,"3,8",0.38,3.0,8.0,0,0.0,0.0,0.0,"31,49","6,7","41,63",105,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.239444060571817,2,98
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Megan Heidelbauer,,,,43,43,144.0,56.0,71.0,68.0,14.0,6.0,15.0,15.0,3.0,7.0,10.0,1.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.557,142.0,172.0,14.0,1.0,0.493,0.986,357.0,13.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,372.0,0.995,0.0,0.0,6.0,5.0,26.0,37.0,"25,41",0.61,25.0,41.0,"45,88",0.51,45.0,88.0,"39,72",0.54,39.0,72.0,"4,11",0.36,4.0,11.0,0.0,0.0,0.0,0.0,"11,16","8,18","68,104",60,0.0,0.0,0.0,0,0.0,0.0,0.0,17.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.070096035319148,3,98
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Trine,Debbie Hill,,,,52,52,137.0,38.0,53.0,70.0,12.0,0.0,21.0,44.0,2.0,2.0,39.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.532,128.0,186.0,2.0,1.0,0.387,0.934,1.0,24.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,25.0,1.0,12.0,0.75,4.0,1.0,13.0,31.0,"25,52",0.48,25.0,52.0,"37,81",0.46,37.0,81.0,"28,63",0.44,28.0,63.0,"3,8",0.38,3.0,8.0,0,0.0,0.0,0.0,"13,31","12,22","70,105",24,0.0,0.0,0.0,13,0.0,0.0,0.0,15.0,21.0,0.0,107.0,1.0,17.0,14.0,2.0,0.0,9.0,5.0,0.0,0.0,102.0,58.0,56.0,15.0,97.0,12.0,1.0,9.0,3.84,404.0,424.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,32.0,0.265,87.0,115.0,0.0,"0,1","53,151","13,69",0.0,"0,1",13.861610601736636,4,98
asc,American Southwest Conference (ASC),2025-26,softball,East Texas Baptist,Tristen Maddox,,,,48,48,160.0,57.0,62.0,55.0,19.0,3.0,16.0,23.0,0.0,8.0,16.0,3.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.487,135.0,191.0,26.0,0.885,0.388,0.844,71.0,99.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,175.0,0.971,0.0,0.0,4.0,4.0,20.0,57.0,"13,37",0.35,13.0,37.0,"29,82",0.35,29.0,82.0,"21,64",0.33,21.0,64.0,"3,24",0.13,3.0,24.0,0.0,0.0,0.0,0.0,"37,71","9,18","50,92",157,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,4.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.775190813454184,5,98
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Hess, Cydney",,,,51,51,147.0,47.0,61.0,59.0,10.0,0.0,17.0,24.0,0.0,2.0,8.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.497,122.0,175.0,7.0,0.857,0.415,0.83,62.0,65.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,142.0,0.894,0.0,0.0,4.0,7.0,23.0,53.0,"16,43",0.37,16.0,43.0,"42,95",0.44,42.0,95.0,"31,64",0.48,31.0,64.0,"6,14",0.43,6.0,14.0,0,0.0,0.0,0.0,"14,29","13,14","58,103",49,0.0,0.0,0.0,55,0.0,0.0,0.0,9.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.280850077386168,6,97
e8,Empire 8 (E8),2025-26,softball,Alfred,Jessica Remm,,,,43,43,140.0,60.0,67.0,67.0,17.0,5.0,12.0,16.0,0.0,5.0,4.0,1.0,20.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.533,130.0,166.0,20.0,1.0,0.479,0.929,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,7.0,1.0,22.0,45.0,"16,34",0.47,16.0,34.0,"44,78",0.56,44.0,78.0,"35,63",0.56,35.0,63.0,"5,13",0.38,5.0,13.0,0,0.0,0.0,0.0,"15,24","17,19","57,85",132,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.257139950690425,7,97
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Trine,Tyra Marcum,,,,52,52,157.0,44.0,66.0,57.0,10.0,2.0,19.0,20.0,0.0,9.0,26.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.505,137.0,188.0,0.0,0.0,0.42,0.873,248.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,259.0,0.992,0.0,0.0,3.0,3.0,25.0,40.0,"23,55",0.42,23.0,55.0,"38,98",0.39,38.0,98.0,"22,61",0.36,22.0,61.0,"5,9",0.56,5.0,9.0,0,0.0,0.0,0.0,"14,25","11,17","58,108",11,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.216216779694486,8,97
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Williams,S. Fleming,,,,40,40,127.0,30.0,47.0,52.0,4.0,1.0,21.0,13.0,3.0,2.0,14.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.434,116.0,144.0,0.0,0.0,0.37,0.913,239.0,15.0,2.0,4.0,0.0,23.0,1.0,0.0,0.0,256.0,0.992,24.0,0.958,2.0,3.0,19.0,47.0,"15,44",0.34,15.0,44.0,"31,74",0.42,31.0,74.0,"20,42",0.48,20.0,42.0,"3,7",0.43,3.0,7.0,0,0.0,0.0,0.0,"6,22","5,14","43,78",17,0.0,0.0,0.0,15,0.0,0.0,0.0,10.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.889525791229712,9,97
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Saint Mary's,Makayla Steffes,,,,50,50,161.0,67.0,69.0,46.0,10.0,4.0,10.0,19.0,0.0,1.0,2.0,0.0,42.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489,117.0,184.0,45.0,0.933,0.429,0.727,30.0,88.0,6.0,0.0,0.0,15.0,4.0,1.0,0.0,124.0,0.952,19.0,0.789,9.0,7.0,33.0,48.0,"18,47",0.38,18.0,47.0,"36,71",0.51,36.0,71.0,"22,47",0.47,22.0,47.0,"5,10",0.5,5.0,10.0,0,0.0,0.0,0.0,"35,65","13,17","48,75",75,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,25.0,0.0,155.0,1.0,29.0,21.0,6.0,1.0,19.0,7.0,0.0,0.0,177.2,56.0,51.0,45.0,141.0,24.0,0.0,12.0,2.01,667.0,731.0,5.0,6.0,0.0,1.0,12.0,0.0,0.0,39.0,0.232,237.0,133.0,0.0,"0,7","1,7","7,18",0.0,"1,8",12.82341867214068,10,97
e8,Empire 8 (E8),2025-26,softball,Nazareth,Kaijah Alexander,,,,36,36,110.0,40.0,59.0,56.0,10.0,0.0,16.0,18.0,0.0,3.0,10.0,3.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,117.0,133.0,6.0,0.833,0.536,1.064,49.0,65.0,10.0,0.0,0.0,1.0,0.0,9.0,0.0,124.0,0.919,1.0,1.0,6.0,1.0,17.0,20.0,"17,37",0.46,17.0,37.0,"36,64",0.56,36.0,64.0,"24,43",0.56,24.0,43.0,"3,5",0.6,3.0,5.0,0,0.0,0.0,0.0,"7,14","13,18","54,75",77,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,13.0,0.0,39.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,25.1,27.0,15.0,13.0,11.0,6.0,0.0,3.0,4.14,122.0,139.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.32,34.0,28.0,0.0,"1,5","3,9","0,2",0.0,"2,8",12.222437761257323,11,97
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Carthage,Clare Rettle,,,,43,43,172.0,69.0,127.0,32.0,1.0,8.0,0.0,13.0,0.0,0.0,7.0,1.0,81.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757,144.0,186.0,84.0,0.964,0.738,0.837,57.0,-14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.956,1.0,1.0,5.0,2.0,24.0,11.0,"41,61",0.67,41.0,61.0,"61,76",0.8,61.0,76.0,"44,48",0.92,44.0,48.0,"22,26",0.85,22.0,26.0,0.0,0.0,0.0,0.0,"53,75","7,1","61,79",57,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.035785535824983,12,97
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Leyvas, Jacey",,,,52,52,152.0,33.0,61.0,57.0,9.0,0.0,16.0,17.0,0.0,5.0,13.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.466,118.0,179.0,0.0,0.0,0.401,0.776,30.0,79.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,116.0,0.94,0.0,0.0,6.0,5.0,20.0,54.0,"16,46",0.35,16.0,46.0,"33,89",0.37,33.0,89.0,"22,58",0.38,22.0,58.0,"3,13",0.23,3.0,13.0,0,0.0,0.0,0.0,"12,25","12,19","52,99",64,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.715099998605124,13,96
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Aven, Ashlyn",,,,52,51,164.0,34.0,66.0,41.0,12.0,2.0,16.0,6.0,0.0,6.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,130.0,177.0,1.0,1.0,0.402,0.793,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.667,0.0,0.0,2.0,7.0,25.0,62.0,"17,54",0.31,17.0,54.0,"31,91",0.34,31.0,91.0,"19,55",0.35,19.0,55.0,"6,17",0.35,6.0,17.0,0,0.0,0.0,0.0,"16,27","4,12","43,98",37,0.0,0.0,0.0,60,0.0,0.0,0.0,4.0,36.0,0.0,6.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,9.33,15.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,2.0,6.0,0.0,"0,3","4,7","0,1",0,"1,4",11.167860424689469,14,96
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Pomona-Pitzer,D. Waddell,,,,42,42,150.0,37.0,56.0,42.0,10.0,2.0,16.0,7.0,1.0,3.0,13.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.407,118.0,162.0,5.0,1.0,0.373,0.787,89.0,45.0,2.0,0.0,0.0,15.0,8.0,3.0,0.0,136.0,0.985,23.0,0.652,2.0,7.0,29.0,51.0,"17,36",0.47,17.0,36.0,"31,78",0.4,31.0,78.0,"16,45",0.36,16.0,45.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"15,39","7,10","48,82",186,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,12.0,24.0,0.0,152.0,1.0,22.0,11.0,10.0,2.0,13.0,3.0,0.0,0.0,138.1,78.0,48.0,37.0,48.0,15.0,3.0,2.0,2.43,559.0,630.0,11.0,16.0,0.0,2.0,16.0,0.0,0.0,14.0,0.272,138.0,207.0,0.0,"5,10","3,16","2,15",0.0,"2,13",11.084762004511898,15,96
landmark_conference,Landmark Conference,2025-26,softball,Moravian,Marcie Silberman,,,,49,49,157.0,23.0,59.0,53.0,6.0,0.0,16.0,14.0,0.0,5.0,26.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.436,113.0,179.0,1.0,1.0,0.376,0.72,226.0,18.0,0.0,3.0,0.0,17.0,7.0,1.0,0.0,244.0,1.0,24.0,0.708,4.0,6.0,27.0,43.0,"19,61",0.31,19.0,61.0,"38,94",0.4,38.0,94.0,"24,67",0.36,24.0,67.0,"0,5",0.0,0.0,5.0,0,0.0,0.0,0.0,"12,22","13,20","56,103",22,0.0,0.0,0.0,8,0.0,0.0,0.0,12.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.702453381374884,16,96
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Nelson, Brynn",,,,52,52,177.0,36.0,74.0,58.0,9.0,0.0,10.0,15.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.459,113.0,196.0,1.0,1.0,0.418,0.638,94.0,83.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,181.0,0.978,0.0,0.0,7.0,9.0,24.0,71.0,"23,63",0.37,23.0,63.0,"49,116",0.42,49.0,116.0,"35,77",0.45,35.0,77.0,"6,18",0.33,6.0,18.0,0,0.0,0.0,0.0,"13,26","13,20","71,125",58,0.0,0.0,0.0,11,0.0,0.0,0.0,9.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.191194158260831,17,96
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,softball,Concordia Wisconsin,Pozezinski Jess,,,,41,40,132.0,49.0,57.0,40.0,17.0,3.0,13.0,23.0,0.0,2.0,11.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.516,119.0,159.0,4.0,1.0,0.432,0.902,72.0,58.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,146.0,0.89,0.0,0.0,4.0,2.0,19.0,43.0,"13,38",0.34,13.0,38.0,"27,64",0.42,27.0,64.0,"19,37",0.51,19.0,37.0,"6,8",0.75,6.0,8.0,0,0.0,0.0,0.0,"33,56","4,8","40,69",1,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,8.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.185294913423986,18,96
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Molly Shelley,,,,44,44,159.0,61.0,68.0,33.0,15.0,7.0,6.0,6.0,0.0,1.0,14.0,5.0,48.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.444,115.0,169.0,49.0,0.98,0.428,0.723,72.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.973,0.0,0.0,7.0,6.0,28.0,45.0,"15,37",0.41,15.0,37.0,"32,70",0.46,32.0,70.0,"20,40",0.5,20.0,40.0,"1,7",0.14,1.0,7.0,0,0.0,0.0,0.0,"33,69","10,14","41,73",3,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.081682333553594,19,96
uaa,University Athletic Association (UAA),2025-26,softball,Case Western Reserve,"Gross, KaiLi",,,,41,41,138.0,44.0,61.0,43.0,15.0,2.0,11.0,13.0,0.0,1.0,8.0,3.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.487,113.0,154.0,19.0,0.684,0.442,0.819,76.0,40.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,122.0,0.951,0.0,0.0,2.0,3.0,30.0,38.0,"22,40",0.55,22.0,40.0,"32,69",0.46,32.0,69.0,"24,49",0.49,24.0,49.0,"7,13",0.54,7.0,13.0,0,0.0,0.0,0.0,"18,38","8,12","48,73",34,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.069262491115785,20,96
e8,Empire 8 (E8),2025-26,softball,St. John Fisher,Mcmanus Emily,,,,43,43,117.0,44.0,52.0,41.0,10.0,0.0,14.0,24.0,0.0,1.0,15.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.535,104.0,144.0,0.0,0.0,0.444,0.889,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.966,0.0,0.0,4.0,7.0,21.0,26.0,"12,28",0.43,12.0,28.0,"28,63",0.44,28.0,63.0,"25,42",0.6,25.0,42.0,"2,4",0.5,2.0,4.0,0,0.0,0.0,0.0,"19,35","7,10","45,75",3,0.0,0.0,0.0,11,0.0,0.0,0.0,7.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9500255172547,21,96
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Leila Jackson,,,,54,54,161.0,42.0,62.0,54.0,16.0,4.0,9.0,16.0,0.0,12.0,13.0,7.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.466,113.0,193.0,16.0,1.0,0.385,0.702,357.0,8.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,367.0,0.995,0.0,0.0,4.0,11.0,33.0,55.0,"23,65",0.35,23.0,65.0,"38,105",0.36,38.0,105.0,"27,78",0.35,27.0,78.0,"2,5",0.4,2.0,5.0,0,0.0,0.0,0.0,"14,25","19,26","61,118",84,0.0,0.0,0.0,2,0.0,0.0,0.0,12.0,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.852613891627833,22,96
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,softball,Illinois Wesleyan,"Kuhn, Jen",,,,47,47,160.0,38.0,71.0,59.0,18.0,0.0,8.0,10.0,0.0,1.0,11.0,1.0,11.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,113.0,178.0,12.0,0.917,0.444,0.706,71.0,110.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,184.0,0.984,0.0,0.0,4.0,3.0,33.0,47.0,"29,67",0.43,29.0,67.0,"46,97",0.47,46.0,97.0,"36,70",0.51,36.0,70.0,"7,15",0.47,7.0,15.0,0.0,0.0,0.0,0.0,"11,24","15,22","66,106",78,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,23.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673390479276232,23,96
ll,Liberty League (LL),2025-26,softball,Clarkson,Devin Fitzpatrick,,,,37,36,115.0,30.0,41.0,44.0,11.0,0.0,15.0,7.0,0.0,0.0,17.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.39,97.0,124.0,0.0,0.0,0.357,0.843,38.0,38.0,5.0,0.0,0.0,19.0,5.0,3.0,0.0,81.0,0.938,24.0,0.792,2.0,3.0,19.0,38.0,"10,38",0.26,10.0,38.0,"23,67",0.34,23.0,67.0,"17,42",0.4,17.0,42.0,"2,4",0.5,2.0,4.0,0,0.0,0.0,0.0,"13,27","5,10","34,74",68,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,25.0,0.0,134.0,1.0,17.0,13.0,7.0,3.0,11.0,2.0,1.0,0.0,134.1,61.0,39.0,20.0,90.0,20.0,7.0,3.0,2.03,538.0,581.0,6.0,8.0,0.0,3.0,12.0,0.0,0.0,24.0,0.249,105.0,196.0,0.0,"4,7","7,21","2,5",0.0,"2,9",9.55556142446882,24,96
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Dyer Hannah,,,,49,49,147.0,62.0,55.0,35.0,13.0,9.0,6.0,22.0,0.0,24.0,18.0,6.0,46.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.523,104.0,195.0,50.0,0.92,0.374,0.707,73.0,105.0,21.0,0.0,0.0,0.0,0.0,8.0,0.0,199.0,0.894,0.0,0.0,13.0,4.0,23.0,41.0,"11,36",0.31,11.0,36.0,"26,64",0.41,26.0,64.0,"16,43",0.37,16.0,43.0,"0,2",0.0,0.0,2.0,"1,3",0.33,1.0,3.0,"47,79","10,18","47,75",22,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52806610999968,25,95
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Saathoff, Kaili",,,,52,52,171.0,63.0,67.0,47.0,9.0,1.0,7.0,27.0,0.0,4.0,13.0,5.0,15.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48,99.0,205.0,18.0,0.833,0.392,0.579,276.0,5.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,289.0,0.972,0.0,0.0,4.0,12.0,34.0,55.0,"18,48",0.38,18.0,48.0,"43,106",0.41,43.0,106.0,"31,66",0.47,31.0,66.0,"4,17",0.24,4.0,17.0,0,0.0,0.0,0.0,"12,25","13,16","68,116",69,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.515995061826557,26,95
