conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Mills, Andre",0,,8,108,44,0.19,1051.0,170.0,370.0,15.0,5.0,101.0,0.0,35.0,55.0,328.0,0.0,0.0,8.0,3.0,163.0,79.0,2.0,71.0,8.0,448.5,2.0,3.43,0.14,1.51,0.73,0.32,4.15,5.35645658962585,1,99,22
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Wagenhauser, Ian",0,,12,97,47,0.226,721.0,162.0,325.0,21.0,0.0,63.0,0.0,51.0,84.0,375.0,0.0,0.0,459.0,23.0,128.0,35.0,5.0,31.0,4.0,395.5,0.0,3.35,0.22,1.32,0.36,0.53,4.08,5.064867047715781,2,94,29
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Rogan, Kody",0,,2,101,48,0.268,257.0,44.0,113.0,912.0,21.0,2212.0,0.0,49.0,105.0,422.0,0.0,0.0,7.0,3.0,208.0,61.0,2.0,48.0,13.0,199.0,1.0,1.12,9.03,2.06,0.6,0.49,1.97,4.8927362097476665,3,91,28
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Wills, JaMarhe",0,,2,91,42,0.207,690.0,136.0,279.0,23.0,1.0,97.0,0.0,20.0,50.0,340.0,0.0,0.0,294.0,19.0,168.0,42.0,5.0,35.0,7.0,323.5,1.0,3.07,0.25,1.85,0.46,0.22,3.55,4.040760341358033,4,90,48
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Luck, Davis",0,,4,21,8,0.158,146.0,29.0,52.0,2.0,1.0,9.0,0.0,9.0,15.0,68.0,0.0,0.0,1.0,0.0,34.0,6.0,1.0,4.0,2.0,65.0,0.0,2.48,0.1,1.62,0.29,0.43,3.1,3.9376927953038385,5,88,51
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Redding, Nick",0,,18,84,40,0.192,639.0,150.0,273.0,15.0,3.0,48.0,0.0,17.0,72.0,259.0,0.0,0.0,1.0,1.0,112.0,39.0,8.0,33.0,6.0,312.5,0.0,3.25,0.18,1.33,0.46,0.2,3.72,3.931854747993431,6,87,62
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Sheppard, Matthew",0,,6,81,36,0.137,510.0,116.0,186.0,19.0,3.0,67.0,0.0,16.0,48.0,256.0,0.0,0.0,3.0,0.0,143.0,81.0,6.0,75.0,6.0,245.5,0.0,2.3,0.23,1.77,1.0,0.2,3.03,3.840222598013178,7,86,58
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Beentjes, Mats",0,,17,99,48,0.216,716.0,111.0,266.0,11.0,4.0,81.0,0.0,24.0,35.0,354.0,0.0,0.0,504.0,21.0,209.0,34.0,2.0,25.0,9.0,311.5,0.0,2.69,0.11,2.11,0.34,0.24,3.15,3.410956273259269,8,85,88
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Cummins, Michael",0,,23,111,51,0.199,749.0,139.0,288.0,12.0,4.0,71.0,0.0,33.0,85.0,435.0,0.0,0.0,483.0,20.0,169.0,43.0,3.0,37.0,6.0,345.5,0.0,2.59,0.11,1.52,0.39,0.3,3.11,3.0024827679623916,9,84,113
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Jackson, Bryce",0,,22,73,33,0.293,229.0,41.0,108.0,10.0,3.0,45.0,0.0,27.0,56.0,230.0,0.0,0.0,39.0,1.0,50.0,71.0,6.0,59.0,12.0,176.5,0.0,1.48,0.14,0.68,0.97,0.37,2.42,2.8967019362293667,10,83,110
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Rutkowski, Jackson",0,,1,100,50,0.182,693.0,146.0,272.0,15.0,3.0,59.0,0.0,27.0,56.0,294.0,0.0,0.0,406.0,14.0,116.0,30.0,3.0,26.0,4.0,316.0,1.0,2.72,0.15,1.16,0.3,0.27,3.16,2.8879155946497437,11,82,124
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Van Essendelft, Phillip",0,,11,87,40,0.388,356.0,44.0,182.0,14.0,1.0,49.0,0.0,15.0,32.0,289.0,0.0,0.0,2.0,0.0,44.0,67.0,3.0,59.0,8.0,234.5,0.0,2.09,0.16,0.51,0.77,0.17,2.7,2.7752985734359967,12,81,122
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Harris, Christian",0,,11,83,33,0.207,551.0,107.0,221.0,17.0,2.0,65.0,0.0,13.0,37.0,281.0,0.0,0.0,524.0,24.0,122.0,24.0,3.0,18.0,6.0,249.0,3.0,2.66,0.2,1.47,0.29,0.16,3.0,2.72600272237952,13,80,136
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Matthews, Bryce",0,,35,92,46,0.19,646.0,104.0,227.0,8.0,1.0,40.0,0.0,8.0,46.0,272.0,0.0,0.0,1.0,0.0,137.0,50.0,3.0,43.0,7.0,263.5,0.0,2.47,0.09,1.49,0.54,0.09,2.86,2.6107042794532185,14,79,143
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Brinkley, Landon",0,,18,72,17,0.226,368.0,74.0,157.0,9.0,1.0,53.0,0.0,23.0,40.0,261.0,0.0,0.0,309.0,12.0,103.0,20.0,2.0,17.0,3.0,191.5,0.0,2.18,0.13,1.43,0.28,0.32,2.66,2.550136162576669,15,79,148
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Odom, Daeman",0,,17,100,44,0.308,400.0,41.0,164.0,4.0,0.0,22.0,0.0,14.0,32.0,192.0,0.0,0.0,2.0,0.0,23.0,110.0,3.0,84.0,26.0,246.0,0.0,1.64,0.04,0.23,1.1,0.14,2.46,2.5265592509652954,16,78,142
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Awkward, Ezekiel",0,,6,101,37,0.219,579.0,100.0,227.0,8.0,1.0,79.0,0.0,30.0,85.0,363.0,0.0,0.0,405.0,23.0,142.0,31.0,0.0,27.0,4.0,274.5,0.0,2.25,0.08,1.41,0.31,0.3,2.72,2.329656669679598,17,77,170
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Costello, Jeremiah",0,,5,84,40,0.148,508.0,97.0,172.0,24.0,2.0,72.0,0.0,26.0,75.0,304.0,0.0,0.0,447.0,34.0,116.0,28.0,1.0,22.0,6.0,215.0,2.0,2.05,0.29,1.38,0.33,0.31,2.56,2.180643546576025,18,76,183
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Woods, Elijah",0,,10,95,35,0.072,682.0,171.0,220.0,11.0,3.0,80.0,0.0,14.0,46.0,329.0,0.0,0.0,477.0,19.0,185.0,33.0,2.0,24.0,9.0,255.0,0.0,2.32,0.12,1.95,0.35,0.15,2.68,2.024197419855828,19,76,206
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Smith, Shamel",0,,12,94,48,0.172,528.0,116.0,207.0,5.0,1.0,33.0,0.0,9.0,25.0,105.0,0.0,0.0,5.0,2.0,62.0,53.0,2.0,48.0,5.0,245.0,1.0,2.2,0.05,0.66,0.56,0.1,2.61,1.929547052028384,20,75,214
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Mendoza, Colin",0,,13,113,52,0.283,325.0,57.0,149.0,21.0,1.0,72.0,0.0,25.0,74.0,337.0,0.0,0.0,5.0,1.0,38.0,113.0,3.0,81.0,32.0,246.5,1.0,1.32,0.19,0.34,1.0,0.22,2.18,1.8834896337552536,21,75,205
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Donnelly, Pierce",0,,19,11,3,0.138,65.0,13.0,22.0,1.0,0.0,4.0,0.0,1.0,6.0,29.0,0.0,0.0,23.0,4.0,2.0,5.0,1.0,3.0,2.0,27.0,0.0,2.0,0.09,0.18,0.45,0.09,2.45,1.7715818982166511,22,74,229
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Lee-Roosevelt Taylor, Terrell",0,,23,82,42,0.365,208.0,27.0,103.0,3.0,1.0,31.0,0.0,18.0,51.0,210.0,0.0,0.0,3.0,1.0,42.0,72.0,6.0,54.0,18.0,166.0,0.0,1.26,0.04,0.51,0.88,0.22,2.02,1.7188274630515228,23,73,230
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Bowie, Davion",0,,9,11,0,-0.15,40.0,17.0,11.0,3.0,0.0,6.0,0.0,8.0,7.0,26.0,0.0,0.0,13.0,2.0,5.0,1.0,0.0,1.0,0.0,19.5,0.0,1.0,0.27,0.45,0.09,0.73,1.77,1.6647858547363648,24,73,245
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Gibson, Seneca",0,,23,13,4,0.373,51.0,4.0,23.0,0.0,0.0,1.0,0.0,2.0,12.0,25.0,0.0,0.0,39.0,1.0,10.0,5.0,0.0,4.0,1.0,28.0,0.0,1.77,0.0,0.77,0.38,0.15,2.15,1.5461635975313937,25,72,258
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Averett University,"Oakley, Finn",0,,4,68,40,0.069,433.0,116.0,146.0,7.0,4.0,60.0,0.0,16.0,47.0,201.0,0.0,0.0,319.0,42.0,62.0,12.0,3.0,8.0,4.0,170.0,0.0,2.15,0.1,0.91,0.18,0.24,2.5,1.542676692251782,26,72,276
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Campbell, Carlyle",0,,16,82,40,0.297,239.0,43.0,114.0,2.0,2.0,26.0,0.0,11.0,48.0,289.0,0.0,0.0,4.0,1.0,35.0,74.0,6.0,64.0,10.0,167.0,0.0,1.39,0.02,0.43,0.9,0.13,2.04,1.5230692170464013,27,71,257
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Varley, Miller",0,,9,72,35,0.154,91.0,15.0,29.0,523.0,16.0,1424.0,0.0,10.0,25.0,300.0,0.0,0.0,6.0,1.0,76.0,33.0,1.0,31.0,2.0,56.5,1.0,0.4,7.26,1.06,0.46,0.14,0.78,1.4269574762024235,28,71,267
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Parker, Aiden",0,,12,12,3,0.5,30.0,2.0,17.0,2.0,0.0,5.0,0.0,4.0,6.0,30.0,0.0,0.0,26.0,1.0,15.0,2.0,0.0,2.0,0.0,22.0,0.0,1.42,0.17,1.25,0.17,0.33,1.83,1.367108053080007,29,70,283
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Kenna, Mason",0,,15,75,33,0.086,395.0,95.0,129.0,9.0,4.0,61.0,0.0,20.0,57.0,238.0,0.0,0.0,367.0,29.0,99.0,22.0,2.0,18.0,4.0,162.0,3.0,1.72,0.12,1.32,0.29,0.27,2.16,1.3403241062779565,30,70,297
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Maher, Conner",0,,3,96,45,0.094,96.0,18.0,27.0,788.0,31.0,2142.0,0.0,19.0,43.0,380.0,0.0,0.0,10.0,0.0,156.0,18.0,3.0,15.0,3.0,56.5,0.0,0.28,8.21,1.63,0.19,0.2,0.59,1.2565900528457463,31,69,292
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,P. Van Essendelft,0,,11,6,6,0.8,15.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,14.5,0.0,2.0,0.17,0.5,0.67,0.0,2.42,1.2528128014820668,32,68,309
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Kinne, Cade",0,,24,67,25,0.245,302.0,59.0,133.0,9.0,1.0,23.0,0.0,1.0,6.0,19.0,0.0,0.0,1.0,0.0,23.0,32.0,3.0,30.0,2.0,151.0,0.0,1.99,0.13,0.34,0.48,0.01,2.25,1.2510735862646591,33,68,304
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Faulcon, Pierce",0,,18,70,25,0.263,338.0,51.0,140.0,4.0,3.0,24.0,0.0,3.0,6.0,33.0,0.0,0.0,0.0,0.0,37.0,26.0,0.0,22.0,4.0,158.0,0.0,2.0,0.06,0.53,0.37,0.04,2.26,1.2476385874261602,34,68,305
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Chappell, Logan",0,,21,13,1,0.0,53.0,19.0,19.0,0.0,0.0,3.0,0.0,2.0,11.0,27.0,0.0,0.0,39.0,5.0,7.0,7.0,0.0,5.0,2.0,25.5,0.0,1.46,0.0,0.54,0.54,0.15,1.96,1.2331691701555576,35,67,301
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Clark, Brennan",0,,1,3,0,0.385,13.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,9.5,0.0,2.67,0.0,1.33,0.33,0.33,3.17,1.1940310059417945,36,67,324
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Melendez, Jose",0,,20,94,35,0.26,327.0,53.0,138.0,11.0,1.0,52.0,0.0,22.0,63.0,304.0,0.0,0.0,3.0,0.0,39.0,49.0,2.0,34.0,15.0,192.0,0.0,1.47,0.12,0.41,0.52,0.23,2.04,1.1355338199622143,37,66,319
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Septoff, Zachary",0,,15,82,42,0.271,229.0,38.0,100.0,12.0,7.0,60.0,0.0,6.0,22.0,129.0,0.0,0.0,3.0,0.0,32.0,72.0,4.0,57.0,15.0,149.5,0.0,1.22,0.15,0.39,0.88,0.07,1.82,1.1135426559512753,38,66,313
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Wheaton, Dominic",0,,12,57,18,0.32,181.0,31.0,89.0,1.0,1.0,19.0,0.0,3.0,9.0,36.0,0.0,0.0,5.0,3.0,18.0,34.0,1.0,29.0,5.0,111.5,1.0,1.56,0.02,0.32,0.6,0.05,1.96,1.0093741638870461,39,65,330
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Echea, Ross",0,,5,8,1,0.286,14.0,1.0,5.0,2.0,0.0,4.0,0.0,5.0,5.0,25.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,11.5,0.0,0.63,0.25,0.25,0.38,0.63,1.44,1.0004633666184943,40,65,336
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Graves, Wesley",0,,7,39,15,0.134,179.0,46.0,70.0,6.0,1.0,22.0,0.0,4.0,13.0,68.0,0.0,0.0,92.0,8.0,26.0,11.0,0.0,9.0,2.0,80.5,0.0,1.79,0.15,0.67,0.28,0.1,2.06,0.969006986707948,41,64,340
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Powell, James",0,,5,63,9,0.24,196.0,31.0,78.0,5.0,1.0,17.0,0.0,18.0,30.0,187.0,0.0,0.0,2.0,0.0,21.0,24.0,1.0,21.0,3.0,109.5,0.0,1.24,0.08,0.33,0.38,0.29,1.74,0.7849126412051096,42,64,368
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Lynchburg,"Wolff, Noah",0,,8,17,5,-0.045,22.0,6.0,5.0,105.0,3.0,242.0,0.0,3.0,19.0,52.0,0.0,0.0,1.0,0.0,10.0,6.0,0.0,5.0,1.0,11.5,0.0,0.29,6.18,0.59,0.35,0.18,0.68,0.726003051755606,43,63,366
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Eastern Mennonite University,"Fernandez Perez, Ricardo",0,,1,101,33,0.221,68.0,7.0,22.0,751.0,21.0,2022.0,0.0,15.0,54.0,377.0,0.0,0.0,8.0,0.0,167.0,19.0,2.0,16.0,3.0,48.0,1.0,0.22,7.44,1.65,0.19,0.15,0.48,0.7255342985643229,44,63,369
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Roanoke College,"Gates, Andre",0,,14,65,34,0.296,152.0,28.0,73.0,2.0,1.0,14.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,3.0,8.0,59.0,1.0,51.0,8.0,106.5,0.0,1.12,0.03,0.12,0.91,0.0,1.64,0.6984749315363771,45,63,370
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Virginia Wesleyan,"Duvall, Albie",0,,4,30,3,0.259,81.0,12.0,33.0,0.0,1.0,6.0,0.0,3.0,11.0,47.0,0.0,0.0,0.0,0.0,7.0,20.0,6.0,16.0,4.0,48.0,0.0,1.1,0.0,0.23,0.67,0.1,1.6,0.5836082070497576,46,62,386
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Averett University,"Sasu-Twumasi, Kendrick",0,,16,74,42,0.199,281.0,37.0,93.0,3.0,3.0,28.0,0.0,2.0,11.0,195.0,0.0,0.0,5.0,1.0,24.0,46.0,7.0,31.0,15.0,125.0,1.0,1.26,0.04,0.32,0.62,0.03,1.69,0.44136673970509466,47,62,406
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph-Macon College,"Eubank, Thomas",0,,5,16,6,0.111,9.0,1.0,2.0,99.0,1.0,243.0,0.0,3.0,0.0,51.0,0.0,0.0,1.0,0.0,14.0,4.0,0.0,4.0,0.0,7.0,0.0,0.13,6.19,0.88,0.25,0.19,0.44,0.42604129053242584,48,61,401
odac,Old Dominion Athletic Conference (ODAC),2025-26,mvball,Randolph College,"Diallo, Ahmed",0,,11,85,34,0.288,191.0,30.0,85.0,8.0,2.0,49.0,0.0,9.0,17.0,257.0,0.0,0.0,8.0,0.0,41.0,51.0,3.0,39.0,12.0,125.5,0.0,1.0,0.09,0.48,0.6,0.11,1.48,0.3008883540789861,49,61,419
