season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Michael Soares,Michael,Soares,,145,Michael Soares,0,0CLARK UN,17,17,,,67.0,22.0,28.0,27.0,6.0,0.0,8.0,15.0,0.0,1.0,19.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,58.0,83.0,1.0,0.0,0.418,0.866,4,0,0,0,0,0,0,0,0,4,1.0,0,0.0,,2.0,2.0,7.0,10.0,"14,26",0.54,14.0,26.0,"21,41",0.51,21.0,41.0,"14,28",0.5,14.0,28.0,"3,6",0.5,3.0,6.0,0,0.0,0.0,0.0,"3,12","3,6","27,44",35,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,13.0,0.0,,Clark,CLARK UN,1134-1794,False,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,13.5,8.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,2.0,2.0,0.0,"1,1","1,5","0,1",0,"0,2",,,1,99,93.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Shea Donovan,Shea,Donovan,,623,Shea Donovan,0,0SALVE RE,12,12,,,45.0,16.0,19.0,14.0,6.0,1.0,0.0,11.0,0.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.534,27.0,59.0,5.0,0.8,0.422,0.6,60,4,2,0,0,3,1,0,0,66,0.97,4,0.75,,2.0,1.0,11.0,10.0,"5,16",0.31,5.0,16.0,"9,25",0.36,9.0,25.0,"7,20",0.35,7.0,20.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"2,4","4,8","17,31",41,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,12.0,0.0,,Salve Regina,SALVE RE,989-554,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,92.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Brayden Hollinrake,Brayden,Hollinrake,,145,Brayden Hollinrake,0,0CLARK UN,14,14,,,47.0,11.0,19.0,14.0,3.0,0.0,2.0,6.0,0.0,2.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.482,28.0,56.0,1.0,1.0,0.404,0.596,64,3,2,1,1,17,2,1,0,69,0.971,19,0.895,,3.0,3.0,8.0,11.0,"7,17",0.41,7.0,17.0,"13,34",0.38,13.0,34.0,"9,27",0.33,9.0,27.0,"3,6",0.5,3.0,6.0,0,0.0,0.0,0.0,"6,8","2,6","18,35",18,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,19.0,0.0,,Clark,CLARK UN,1134-1789,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,91.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,WPI,Liam Keblin,Liam,Keblin,,808,Liam Keblin,0,0WPI,12,12,,,35.0,8.0,16.0,11.0,3.0,0.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.523,25.0,44.0,2.0,0.5,0.457,0.714,14,32,0,0,0,0,0,5,0,46,1.0,0,0.0,,1.0,3.0,11.0,7.0,"4,14",0.29,4.0,14.0,"6,17",0.35,6.0,17.0,"5,12",0.42,5.0,12.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"9,13","2,6","10,21",11,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,10.0,0.0,,WPI,WPI,1146-3443,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,90.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Jake Harring,Jake,Harring,,623,Jake Harring,0,0SALVE RE,11,11,,,41.0,14.0,17.0,10.0,2.0,1.0,0.0,5.0,0.0,5.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,21.0,51.0,8.0,1.0,0.415,0.512,14,21,1,0,0,0,0,2,0,36,0.972,0,0.0,,0.0,0.0,8.0,7.0,"8,12",0.67,8.0,12.0,"10,15",0.67,10.0,15.0,"6,8",0.75,6.0,8.0,"1,5",0.2,1.0,5.0,0,0.0,0.0,0.0,"9,21","2,4","12,17",77,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,,Salve Regina,SALVE RE,989-4758,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,89.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Danny Rogers,Danny,Rogers,,623,Danny Rogers,0,0SALVE RE,12,10,,,36.0,15.0,18.0,9.0,2.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.609,20.0,48.0,2.0,1.0,0.5,0.556,23,0,0,0,0,0,0,0,0,23,1.0,0,0.0,,3.0,1.0,4.0,8.0,"9,18",0.5,9.0,18.0,"13,26",0.5,13.0,26.0,"9,20",0.45,9.0,20.0,"3,7",0.43,3.0,7.0,0,0.0,0.0,0.0,"4,5","3,6","23,34",4,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,14.0,0.0,,Salve Regina,SALVE RE,989-4291,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,88.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Joseph Winakor,Joseph,Winakor,,145,Joseph Winakor,0,0CLARK UN,5,4,,,19.0,8.0,12.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,22.0,22.0,0.0,0.0,0.632,1.158,7,9,1,0,0,0,0,3,0,17,0.941,0,0.0,,0.0,2.0,6.0,2.0,"4,7",0.57,4.0,7.0,"8,13",0.62,8.0,13.0,"5,7",0.71,5.0,7.0,"1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,"1,3",0,"11,16",2,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,6.0,0.0,,Clark,CLARK UN,1134-2042,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,87.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Nate Stafford,Nate,Stafford,,722,Nate Stafford,0,0COAST GU,12,11,,,41.0,9.0,17.0,8.0,7.0,0.0,2.0,10.0,3.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,30.0,52.0,2.0,1.0,0.415,0.732,96,2,1,0,0,0,0,11,0,99,0.99,0,0.0,,0.0,4.0,14.0,3.0,"6,11",0.55,6.0,11.0,"7,16",0.44,7.0,16.0,"5,9",0.56,5.0,9.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"5,13",0,"14,18",0,0.0,0.0,0.0,11,0.0,0.0,0.0,5.0,1.0,0.0,,Coast Guard,COAST GU,1135-3014,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,86.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Christensen, Robert",Robert,Christensen,,45,"Christensen, Robert",0,0BAB,11,9,,,32.0,6.0,13.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.474,16.0,39.0,0.0,0.0,0.406,0.5,14,33,6,0,0,0,0,8,0,53,0.887,0,0.0,,0.0,0.0,8.0,5.0,"3,9",0.33,3.0,9.0,"8,19",0.42,8.0,19.0,"2,11",0.18,2.0,11.0,"0,0",0.0,0.0,0.0,"4,8",0.5,4.0,8.0,"5,7","1,4","12,21",6,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,9.0,0.0,,Babson,BAB,1133-2903,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,85.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,WPI,Zachary Roethlein,Zachary,Roethlein,,808,Zachary Roethlein,0,0WPI,12,12,,,44.0,8.0,18.0,3.0,4.0,0.0,0.0,6.0,0.0,3.0,7.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.509,22.0,54.0,3.0,1.0,0.409,0.5,11,21,1,0,0,0,0,1,0,33,0.97,0,0.0,,2.0,2.0,11.0,8.0,"6,12",0.5,6.0,12.0,"8,24",0.33,8.0,24.0,"5,13",0.38,5.0,13.0,"4,7",0.57,4.0,7.0,0,0.0,0.0,0.0,"8,13","0,2","14,27","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,4.0,10.0,0.0,,WPI,WPI,1146-3448,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,84.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Shane Williams,Shane,Williams,,623,Shane Williams,0,0SALVE RE,12,12,,,49.0,23.0,19.0,21.0,2.0,0.0,3.0,7.0,0.0,2.0,5.0,1.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.459,30.0,62.0,7.0,1.0,0.388,0.612,17,1,0,0,0,0,0,0,0,18,1.0,0,0.0,,2.0,5.0,14.0,14.0,"3,12",0.25,3.0,12.0,"11,32",0.34,11.0,32.0,"10,22",0.45,10.0,22.0,"4,14",0.29,4.0,14.0,0,0.0,0.0,0.0,"7,12","9,11","23,40",45,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,12.0,0.0,,Salve Regina,SALVE RE,989-571,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,96,83.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Cole Camara,Cole,Camara,,145,Cole Camara,0,0CLARK UN,17,17,,,59.0,17.0,23.0,20.0,2.0,0.0,3.0,9.0,0.0,8.0,14.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.513,34.0,78.0,5.0,1.0,0.39,0.576,29,4,0,0,0,0,0,0,0,33,1.0,0,0.0,,1.0,3.0,12.0,11.0,"10,22",0.45,10.0,22.0,"16,37",0.43,16.0,37.0,"11,28",0.39,11.0,28.0,"4,8",0.5,4.0,8.0,0,0.0,0.0,0.0,"3,10","5,9","28,46",46,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,13.0,0.0,,Clark,CLARK UN,1134-2154,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,96,82.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Michael Lepere,Michael,Lepere,,673,Michael Lepere,0,0SPRINGFI,14,14,,,47.0,13.0,18.0,18.0,2.0,0.0,3.0,8.0,0.0,4.0,5.0,2.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.476,29.0,63.0,7.0,0.714,0.383,0.617,13,0,0,0,0,0,0,0,0,13,1.0,0,0.0,,1.0,0.0,14.0,13.0,"7,15",0.47,7.0,15.0,"11,29",0.38,11.0,29.0,"9,22",0.41,9.0,22.0,"0,4",0.0,0.0,4.0,0,0.0,0.0,0.0,"5,8","7,12","23,35",0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,7.0,0.0,,Springfield,SPRINGFI,1140-3990,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,95,81.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Nate Garafalo,Nate,Garafalo,,673,Nate Garafalo,0,0SPRINGFI,14,14,,,50.0,12.0,19.0,17.0,5.0,1.0,1.0,6.0,0.0,2.0,13.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,29.0,60.0,2.0,1.0,0.38,0.58,27,29,1,0,0,0,0,9,0,57,0.982,0,0.0,,0.0,2.0,8.0,11.0,"7,18",0.39,7.0,18.0,"10,28",0.36,10.0,28.0,"9,21",0.43,9.0,21.0,"1,2",0.5,1.0,2.0,0,0.0,0.0,0.0,"5,10","8,13","19,33",3,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,10.0,0.0,,Springfield,SPRINGFI,1140-4464,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,94,80.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Wheaton,Collin Reilly,Collin,Reilly,,779,Collin Reilly,0,0WHEATON,12,11,,,45.0,16.0,16.0,15.0,5.0,1.0,2.0,1.0,0.0,8.0,13.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,29.0,55.0,2.0,1.0,0.356,0.644,39,1,0,0,0,0,0,5,0,40,1.0,0,0.0,,1.0,3.0,6.0,10.0,"5,16",0.31,5.0,16.0,"9,25",0.36,9.0,25.0,"8,20",0.4,8.0,20.0,"2,2",1.0,2.0,2.0,0,0.0,0.0,0.0,"6,9","3,3","15,30",22,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,2.0,10.0,0.0,,Wheaton,WHEATON,1144-1956,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,94,79.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Grace, Ryan",Ryan,Grace,,45,"Grace, Ryan",0,0BAB,12,12,,,47.0,11.0,18.0,15.0,3.0,0.0,3.0,7.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,30.0,55.0,1.0,1.0,0.383,0.638,59,5,2,0,0,0,0,3,0,66,0.97,0,0.0,,0.0,1.0,11.0,13.0,"3,13",0.23,3.0,13.0,"11,28",0.39,11.0,28.0,"10,24",0.42,10.0,24.0,"0,1",0.0,0.0,1.0,"5,13",0.38,5.0,13.0,"5,13","7,7","19,32",132,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,11.0,0.0,,Babson,BAB,1133-2904,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,93,78.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Clark,Bennett Hewett,Bennett,Hewett,,145,Bennett Hewett,0,0CLARK UN,17,17,,,63.0,23.0,24.0,14.0,7.0,1.0,0.0,8.0,0.0,10.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519,33.0,81.0,4.0,1.0,0.381,0.524,38,0,3,0,0,0,0,0,0,41,0.927,0,0.0,,2.0,3.0,12.0,14.0,"10,25",0.4,10.0,25.0,"13,34",0.38,13.0,34.0,"8,24",0.33,8.0,24.0,"2,3",0.67,2.0,3.0,0,0.0,0.0,0.0,"12,21","4,7","25,41",12,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,19.0,0.0,,Clark,CLARK UN,1134-2159,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,93,77.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Jack Dunaisky,Jack,Dunaisky,,673,Jack Dunaisky,0,0SPRINGFI,14,14,,,44.0,13.0,16.0,11.0,2.0,0.0,1.0,7.0,0.0,3.0,4.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.473,21.0,55.0,10.0,0.8,0.364,0.477,20,33,5,0,0,0,0,9,0,58,0.914,0,0.0,,2.0,3.0,11.0,12.0,"2,12",0.17,2.0,12.0,"9,21",0.43,9.0,21.0,"8,16",0.5,8.0,16.0,"1,5",0.2,1.0,5.0,0,0.0,0.0,0.0,"5,11","4,6","15,24",33,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,6.0,0.0,,Springfield,SPRINGFI,1140-3986,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,92,76.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Wheaton,Robbie Lamond,Robbie,Lamond,,779,Robbie Lamond,0,0WHEATON,12,12,,,50.0,15.0,18.0,9.0,3.0,0.0,3.0,6.0,0.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.467,30.0,60.0,3.0,0.667,0.36,0.6,29,1,1,0,0,0,0,0,0,31,0.968,0,0.0,,1.0,1.0,5.0,19.0,"5,14",0.36,5.0,14.0,"7,28",0.25,7.0,28.0,"4,18",0.22,4.0,18.0,"1,2",0.5,1.0,2.0,0,0.0,0.0,0.0,"2,5","1,3","18,35",35,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,14.0,0.0,,Wheaton,WHEATON,1144-2270,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,92,75.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Evan O’rourke,Evan,O’rourke,,623,Evan O’rourke,0,0SALVE RE,12,12,,,38.0,17.0,15.0,9.0,1.0,0.0,2.0,15.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.579,22.0,57.0,6.0,0.667,0.395,0.579,17,1,0,0,0,0,0,0,0,18,1.0,0,0.0,,2.0,3.0,8.0,10.0,"5,10",0.5,5.0,10.0,"8,26",0.31,8.0,26.0,"4,16",0.25,4.0,16.0,"3,11",0.27,3.0,11.0,0,0.0,0.0,0.0,"6,9","5,9","23,35","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,6.0,5.0,0.0,,Salve Regina,SALVE RE,989-564,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,91,74.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,"Drazka, Dylan",Dylan,Drazka,,45,"Drazka, Dylan",0,0BAB,11,10,,,32.0,8.0,12.0,8.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.476,13.0,43.0,7.0,0.714,0.375,0.406,14,2,1,0,0,0,0,0,0,17,0.941,0,0.0,,6.0,1.0,12.0,5.0,"5,10",0.5,5.0,10.0,"6,13",0.46,6.0,13.0,"5,12",0.42,5.0,12.0,"0,0",0.0,0.0,0.0,"3,6",0.5,3.0,6.0,"9,14","3,5","16,20",0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,5.0,0.0,,Babson,BAB,1133-2718,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,91,73.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Wheaton,Marcus Rodrigues,Marcus,Rodrigues,,779,Marcus Rodrigues,0,0WHEATON,12,12,,,51.0,12.0,18.0,8.0,1.0,0.0,0.0,6.0,0.0,1.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.424,19.0,60.0,2.0,1.0,0.353,0.373,26,31,1,0,0,0,0,6,0,58,0.983,0,0.0,,4.0,3.0,14.0,10.0,"3,11",0.27,3.0,11.0,"11,25",0.44,11.0,25.0,"5,14",0.36,5.0,14.0,"3,3",1.0,3.0,3.0,0,0.0,0.0,0.0,"6,20","5,5","21,30",3,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,5.0,0.0,,Wheaton,WHEATON,1144-1957,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,90,72.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Elliot Hamilton,Elliot,Hamilton,,623,Elliot Hamilton,0,0SALVE RE,12,12,,,43.0,19.0,16.0,7.0,2.0,1.0,2.0,8.0,0.0,6.0,7.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,26.0,60.0,1.0,1.0,0.372,0.605,86,3,1,0,0,0,0,7,0,90,0.989,0,0.0,,2.0,0.0,4.0,17.0,"7,13",0.54,7.0,13.0,"9,27",0.33,9.0,27.0,"6,16",0.38,6.0,16.0,"5,11",0.45,5.0,11.0,0,0.0,0.0,0.0,"7,11","2,7","20,36","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,5.0,8.0,0.0,,Salve Regina,SALVE RE,989-558,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,89,71.0,batting,,
2026-27,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Springfield,Tyler Casey,Tyler,Casey,,673,Tyler Casey,0,0SPRINGFI,14,14,,,46.0,17.0,17.0,7.0,3.0,2.0,1.0,12.0,0.0,0.0,8.0,2.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,27.0,59.0,15.0,0.867,0.37,0.587,28,0,0,0,0,0,0,0,0,28,1.0,0,0.0,,0.0,2.0,11.0,11.0,"5,10",0.5,5.0,10.0,"7,18",0.39,7.0,18.0,"4,12",0.33,4.0,12.0,"1,3",0.33,1.0,3.0,0,0.0,0.0,0.0,"5,14","1,3","11,21","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,2.0,4.0,0.0,,Springfield,SPRINGFI,1140-4967,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,89,70.0,batting,,
