season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Ashlyn Steen,Ashlyn,Steen,,641,Ashlyn Steen,0,0SIMPSON,48,48,,,148,68,72,32,13,8,5,21,1,13,8,2,44,4,1,1,0,0,0,0,0,3,0,0.579,116,184,48,.917,.486,.784,75,6,3,0,0,0,0,2,0,84,.964,0,.000,,11,2,32,29,"26,43",0.60,26,43,"30,58",0.52,30,58,"21,39",0.54,21,39,"2,5",0.40,2,5,0,0,0,0,"44,73","8,16","47,67",2,0,0,0,0,0,0,0,10,17,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Megan Heidelbauer,Megan,Heidelbauer,,641,Megan Heidelbauer,0,0SIMPSON,47,47,,,158,51,66,69,16,6,10,11,0,2,17,5,9,0,2,2,0,0,0,0,0,1,0,0.457,124,175,9,1.000,.418,.785,287,6,3,0,0,0,0,3,0,296,.990,0,.000,,6,3,27,45,"20,44",0.45,20,44,"48,105",0.46,48,105,"40,83",0.48,40,83,"1,5",0.20,1,5,0,0,0,0,"7,16","13,20","61,110",124,0,0,0,"1,1",1.00,1,1,12,24,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Mackenzie James,Mackenzie,James,,641,Mackenzie James,0,0SIMPSON,48,48,,,143,32,45,38,17,1,3,17,0,0,2,1,7,0,6,2,0,0,0,1,0,2,0,0.383,73,168,7,1.000,.315,.510,58,3,5,0,0,0,0,0,0,66,.924,0,.000,,5,2,36,63,"19,54",0.35,19,54,"26,79",0.33,26,79,"20,62",0.32,20,62,"1,5",0.20,1,5,0,0,0,0,"7,21","16,23","55,95","1,1",1.00,1,1,0,0,0,0,22,24,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Katie Shaner,Katie,Shaner,,641,Katie Shaner,0,0SIMPSON,48,48,,,146,30,57,44,13,1,6,10,0,1,3,1,5,0,6,1,0,0,0,0,1,0,0,0.430,90,164,5,1.000,.390,.616,49,3,4,0,0,0,0,1,0,56,.929,0,.000,,6,6,39,47,"17,55",0.31,17,55,"35,86",0.41,35,86,"30,68",0.44,30,68,"4,6",0.67,4,6,0,0,0,0,"16,32","15,20","57,95",24,0,0,0,0,0,0,0,17,32,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Brielyn Ginnaty,Brielyn,Ginnaty,,641,Brielyn Ginnaty,0,0SIMPSON,41,36,,,109,10,35,33,6,0,8,6,0,3,8,2,0,0,0,0,0,0,0,1,0,1,0,0.373,65,118,0,.000,.321,.596,-1,-3,0,0,0,0,0,0,0,-4,1.000,0,.000,,6,1,19,38,"18,42",0.43,18,42,"26,67",0.39,26,67,"20,48",0.42,20,48,"1,1",1.00,1,1,0,0,0,0,"5,12","4,12","37,69",57,0,0,0,110,0,0,0,5,16,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Addison Gookin,Addison,Gookin,,641,Addison Gookin,0,0SIMPSON,39,35,,,99,24,29,17,4,3,6,9,0,1,14,1,7,1,4,2,0,0,0,0,0,0,0,0.351,57,115,8,.875,.293,.576,53,44,7,0,0,0,0,1,0,104,.933,0,.000,,2,4,19,40,"11,31",0.35,11,31,"15,49",0.31,15,49,"9,34",0.26,9,34,"1,1",1.00,1,1,0,0,0,0,"6,25","5,12","27,56",1,0,0,0,3,0,0,0,12,18,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Makayla Fowler,Makayla,Fowler,,641,Makayla Fowler,0,0SIMPSON,25,24,,,58,3,9,6,1,0,0,2,0,0,10,3,0,0,1,0,0,0,0,1,0,2,0,0.183,10,61,0,.000,.155,.172,117,9,1,0,0,17,4,0,0,127,.992,21,.810,,3,2,21,16,"1,16",0.06,1,16,"7,37",0.19,7,37,"5,23",0.22,5,23,"0,1",0,0,1,0,0,0,0,"2,9","3,5","17,39",35,0,0,0,0,0,0,0,7,19,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Rowen Fisk,Rowen,Fisk,,641,Rowen Fisk,0,0SIMPSON,26,2,,,5,12,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,1,0,0.286,0,7,4,.750,.000,.000,2,1,0,0,0,0,0,0,0,3,1.000,0,.000,,0,0,0,4,0,0,0,0,"0,3",0,0,3,"0,3",0,0,3,0,0,0,0,0,0,0,0,"0,1",0,"0,3",0,0,0,0,"0,1",0,0,1,0,0,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Caelynn Obleton,Caelynn,Obleton,,641,Caelynn Obleton,0,0SIMPSON,48,48,,,125,27,41,22,11,3,0,16,0,4,14,3,11,1,4,0,0,0,0,1,0,2,0,0.421,58,149,12,.917,.328,.464,35,88,12,0,0,0,0,0,0,135,.911,0,.000,,7,6,36,32,"15,43",0.35,15,43,"25,60",0.42,25,60,"19,41",0.46,19,41,"1,4",0.25,1,4,0,0,0,0,"14,35","7,12","45,71",28,0,0,0,22,0,0,0,10,18,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Brynn Ortlund,Brynn,Ortlund,,641,Brynn Ortlund,0,0SIMPSON,48,48,,,120,34,46,14,5,1,0,6,0,4,13,5,10,2,6,0,0,0,0,0,1,0,0,0.431,53,136,12,.833,.383,.442,68,66,8,0,0,0,0,4,0,142,.944,0,.000,,7,3,42,19,"14,41",0.34,14,41,"21,58",0.36,21,58,"16,38",0.42,16,38,"1,4",0.25,1,4,0,0,0,0,"14,30","6,11","36,65",13,0,0,0,0,0,0,0,15,24,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Emma Lafave,Emma,Lafave,,641,Emma Lafave,0,0SIMPSON,28,26,,,-4,0,-1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.250,-1,-4,0,.000,.250,.250,0,16,1,0,0,16,5,0,0,17,.941,21,.762,,0,0,1,0,"0,1",0,0,1,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,"1,1",0,0,0,0,0,0,0,0,0,0,0,,Simpson,SIMPSON,0,True,133,1,27,19,5,0,13,6,0,0,140.1,68,54,49,110,16,0,10,2.69,541,607,7,4,0,2,11,0,0,33,.246,177,117,0,"8,20","15,42","9,24",0,"8,26",,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Amanda Bauer,Amanda,Bauer,,641,Amanda Bauer,0,0SIMPSON,6,0,,,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0,1,1,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,0,1,0,0,0,0,"0,1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,"0,1",0,0,1,0,0,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Alyssa Breckner,Alyssa,Breckner,,641,Alyssa Breckner,0,0SIMPSON,9,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,2,7,1,0,0,1,3,0,0,10,.900,4,.250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Simpson,SIMPSON,0,True,43,1,5,3,1,0,0,0,0,0,22.2,22,14,7,9,11,0,1,4.32,110,124,0,4,0,2,1,0,0,1,.391,19,36,0,"0,1","3,9","3,6",0,"0,1",,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Sierra Franklin,Sierra,Franklin,,641,Sierra Franklin,0,0SIMPSON,5,0,,,-3,0,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.500,0,-2,0,.000,.333,.000,0,1,0,0,0,1,1,0,0,1,1.000,2,.500,,0,1,1,1,"1,2",0.50,1,2,"0,1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1","1,2",0,0,0,0,0,0,0,0,3,1,0,,Simpson,SIMPSON,0,True,16,1,1,0,0,0,0,0,0,0,10.1,10,7,6,1,2,0,2,4.74,42,51,2,0,0,0,3,0,0,0,.381,12,15,0,"1,1","3,6","1,1",0,"2,3",,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Alexis Voss,Alexis,Voss,,641,Alexis Voss,0,0SIMPSON,24,2,,,8,12,1,0,0,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0.222,1,9,5,1.000,.125,.125,4,1,0,0,0,0,0,0,0,5,1.000,0,.000,,0,1,1,4,"0,1",0,0,1,"0,3",0,0,3,"0,3",0,0,3,"0,1",0,0,1,0,0,0,0,"1,3","0,1","2,4","0,1",0,0,1,2,0,0,0,0,2,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Allison Schertz,Allison,Schertz,,641,Allison Schertz,0,0SIMPSON,4,0,,,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.667,2,3,0,.000,.500,1.000,2,0,0,0,0,0,0,0,0,2,1.000,0,.000,,0,0,0,0,"0,1",0,0,1,"1,2",0.50,1,2,"1,2",0.50,1,2,0,0,0,0,0,0,0,0,"1,1",0,"1,2",0,0,0,0,2,0,0,0,0,1,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Ava Tichy,Ava,Tichy,,641,Ava Tichy,0,0SIMPSON,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Cheyenne Jones,Cheyenne,Jones,,641,Cheyenne Jones,0,0SIMPSON,15,9,,,28,3,6,5,0,0,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0.241,6,29,1,1.000,.214,.214,11,13,2,0,0,0,0,1,0,26,.923,0,.000,,2,2,8,6,"2,11",0.18,2,11,"3,18",0.17,3,18,"3,17",0.18,3,17,"1,4",0.25,1,4,0,0,0,0,"1,4","1,4","5,18",6,0,0,0,0,0,0,0,2,17,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Kenna Rollinger,Kenna,Rollinger,,641,Kenna Rollinger,0,0SIMPSON,12,8,,,28,3,7,1,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0.300,10,30,0,.000,.250,.357,41,6,1,0,0,2,6,0,0,48,.979,8,.250,,2,1,5,13,"0,8",0,0,8,"3,18",0.17,3,18,"1,9",0.11,1,9,0,0,0,0,0,0,0,0,"2,4","0,1","5,18",0,0,0,0,6,0,0,0,1,7,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Sydnie Wass,Sydnie,Wass,,641,Sydnie Wass,0,0SIMPSON,2,0,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,1,0,.000,.000,.000,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,1,0,0,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Marina Cronin,Marina,Cronin,,641,Marina Cronin,0,0SIMPSON,31,15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,4,42,2,0,0,11,4,0,0,48,.958,15,.733,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Simpson,SIMPSON,0,True,103,1,15,17,2,5,10,2,0,0,129.0,47,39,34,118,13,2,5,2.12,485,544,5,4,0,6,15,0,0,37,.212,108,156,0,"6,13","6,30","7,21",0,"7,21",,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Tatum Shepherd,Tatum,Shepherd,,641,Tatum Shepherd,0,0SIMPSON,1,-1,,,-3,1,-1,-1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333,2,-3,0,.000,.333,-.667,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,1,0,0,"1,3",0.33,1,3,"0,2",0,0,2,"0,2",0,0,2,0,0,0,0,0,0,0,0,0,0,"1,2",0,0,0,0,0,0,0,0,0,2,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Gracie Bruening,Gracie,Bruening,,641,Gracie Bruening,0,0SIMPSON,31,22,,,71,5,24,21,7,0,3,6,0,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0.405,40,79,0,.000,.338,.563,104,8,2,1,0,12,3,1,0,114,.982,15,.800,,1,2,8,28,"8,26",0.31,8,26,"15,32",0.47,15,32,"12,22",0.55,12,22,"2,3",0.67,2,3,0,0,0,0,"5,19","4,10","19,35",11,0,0,0,103,0,0,0,1,12,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Makenna Askeland,Makenna,Askeland,,641,Makenna Askeland,0,0SIMPSON,5,0,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.200,1,5,0,.000,.200,.200,3,0,0,0,0,0,0,0,0,3,1.000,0,.000,,0,0,0,3,"0,2",0,0,2,"0,3",0,0,3,"0,1",0,0,1,0,0,0,0,0,0,0,0,"0,1",0,"0,3",0,0,0,0,3,0,0,0,0,2,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Taryn Fredrickson,Taryn,Fredrickson,,641,Taryn Fredrickson,0,0SIMPSON,4,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,.000,.000,.000,0,4,0,0,0,2,0,0,0,4,1.000,2,1.000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Simpson,SIMPSON,0,True,3,1,0,1,0,0,0,0,0,0,7.0,1,1,2,1,2,0,0,1.00,22,25,1,0,0,0,1,0,0,0,.136,13,6,1,"1,6","1,9","0,4",0,"1,7",,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Abigail Rouse,Abigail,Rouse,,641,Abigail Rouse,0,0SIMPSON,29,1,,,7,17,0,0,0,0,0,1,0,0,4,1,5,2,0,0,0,0,0,0,0,0,0,0.125,0,8,7,.714,.000,.000,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,2,2,1,"0,3",0,0,3,"0,6",0,0,6,"0,5",0,0,5,0,0,0,0,0,0,0,0,"0,1","0,1","1,6","0,1",0,0,1,4,0,0,0,0,5,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Olivia Schuetz,Olivia,Schuetz,,641,Olivia Schuetz,0,0SIMPSON,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Lauren Ellwanger,Lauren,Ellwanger,,641,Lauren Ellwanger,0,0SIMPSON,4,0,,,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.333,1,3,1,.000,.333,.333,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,,0,0,1,0,"0,1",0,0,1,"1,2",0.50,1,2,"1,2",0.50,1,2,0,0,0,0,0,0,0,0,0,"1,1","1,2",0,0,0,0,1,0,0,0,0,0,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Savana Walls,Savana,Walls,,641,Savana Walls,0,0SIMPSON,8,1,,,7,1,1,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0.125,1,8,0,.000,.143,.143,0,1,0,0,0,0,0,0,0,1,1.000,0,.000,,0,0,0,2,"0,3",0,0,3,"0,5",0,0,5,"0,4",0,0,4,"0,2",0,0,2,0,0,0,0,"1,1","1,1","1,6",2,0,0,0,5,0,0,0,2,6,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Simpson,Maddison Pospeshil,Maddison,Pospeshil,,641,Maddison Pospeshil,0,0SIMPSON,6,2,,,8,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,8,0,.000,.125,.125,7,2,0,0,0,0,0,0,0,9,1.000,0,.000,,0,0,4,2,"1,3",0.33,1,3,"1,3",0.33,1,3,"1,3",0.33,1,3,0,0,0,0,0,0,0,0,"0,3",0,"2,3",0,0,0,0,"0,1",0,0,1,1,2,0,,Simpson,SIMPSON,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Wartburg,Reagan Hassel,Reagan,Hassel,,750,Reagan Hassel,0,0WARTBURG,43,43,,,156,45,61,40,13,2,5,9,0,0,11,7,31,3,2,3,0,0,0,0,0,0,0,0.417,93,170,34,.912,.391,.596,54,96,13,0,0,0,0,9,0,163,.920,0,.000,,9,4,31,51,"14,41",0.34,14,41,"34,85",0.40,34,85,"20,60",0.33,20,60,"3,12",0.25,3,12,0,0,0,0,"14,33","12,17","55,91",124,0,0,0,0,0,0,0,18,32,0,,Wartburg,WARTBURG,1048-5208,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Wartburg,Ally Happ,Ally,Happ,,750,Ally Happ,0,0WARTBURG,39,36,,,66,37,20,12,0,1,0,10,0,15,15,9,26,1,4,1,0,0,0,0,0,0,0,0.489,22,96,27,.963,.303,.333,51,83,10,0,0,0,0,10,0,144,.931,0,.000,,0,3,18,17,"5,20",0.25,5,20,"13,37",0.35,13,37,"9,28",0.32,9,28,"0,5",0,0,5,0,0,0,0,"9,16","7,14","29,49",2,0,0,0,0,0,0,0,9,9,0,,Wartburg,WARTBURG,1048-4833,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Wartburg,Bella Mulder,Bella,Mulder,,750,Bella Mulder,0,0WARTBURG,44,43,,,139,30,51,43,13,1,8,16,0,2,24,10,6,3,0,2,0,0,0,1,0,3,0,0.434,90,159,9,.667,.367,.647,27,28,5,0,0,0,0,5,0,60,.917,0,.000,,7,4,9,46,"22,46",0.48,22,46,"35,93",0.38,35,93,"26,66",0.39,26,66,"6,13",0.46,6,13,0,0,0,0,"12,24","9,20","49,98",58,0,0,0,1,0,0,0,6,25,0,,Wartburg,WARTBURG,1048-5460,True,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,0,0,,,
2026-27,softball,American Rivers Conference (ARC),arc,Wartburg,Jenna Wiebenga,Jenna,Wiebenga,,750,Jenna Wiebenga,0,0WARTBURG,44,44,,,130,26,38,43,10,1,5,20,2,1,8,2,4,0,9,1,0,0,0,1,0,2,0,0.388,65,161,4,1.000,.292,.500,345,10,7,0,0,0,0,18,0,362,.981,0,.000,,10,10,40,40,"13,55",0.24,13,55,"23,79",0.29,23,79,"18,54",0.33,18,54,"2,8",0.25,2,8,0,0,0,0,"11,25","16,24","47,92",90,0,0,0,"0,1",0,0,1,16,41,0,,Wartburg,WARTBURG,1048-4841,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,American Rivers Conference (ARC),arc,Wartburg,Madde Buskohl,Madde,Buskohl,,750,Madde Buskohl,0,0WARTBURG,19,2,,,14,9,4,5,1,0,0,6,0,0,5,0,6,0,0,1,0,0,0,0,0,0,0,0.476,5,21,6,1.000,.286,.357,14,1,1,0,0,0,0,0,0,16,.938,0,.000,,1,1,3,2,"2,8",0.25,2,8,"3,10",0.30,3,10,"3,9",0.33,3,9,"0,1",0,0,1,0,0,0,0,"1,3","1,3","7,12",23,0,0,0,285,0,0,0,3,7,0,,Wartburg,WARTBURG,1048-5999,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
