conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,z_hitting_stats_hits,z_hitting_stats_runs,z_hitting_stats_runs_batted_in,z_hitting_stats_home_runs,z_hitting_stats_stolen_bases,z_hitting_stats_strikeouts,composite_score,rank,rating
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Dyer Hannah,,,,49,49,147,62,55,35,13,9,6,22,0,24,18,6,46,4,2,0,0,0,0,0,1,0,0,0.523,104,195,50,0.92,0.374,0.707,73,105,21,0,0,0,0,8,0,199,0.894,0,0.0,13,4,23,41,"11,36",0.31,11,36,"26,64",0.41,26,64,"16,43",0.37,16,43,"0,2",0.0,0,2,"1,3",0.33,1,3,"47,79","10,18","47,75",22,0.0,0,0,0,0.0,0,0,13,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575010156939367,5.381528076361578,2.8084225208331923,4.274648403870304,9.33543374773752,1.6713222769485685,10.84129038884892,1,99
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Schlabach Kandice,,,,50,50,150,39,57,45,10,3,9,22,0,0,18,8,2,0,0,5,0,0,0,0,0,0,0,0.446,100,177,2,1.0,0.38,0.667,99,88,7,0,0,0,0,4,0,194,0.964,0,0.0,4,3,29,46,"21,54",0.39,21,54,"43,95",0.45,43,95,"28,65",0.43,28,65,"3,4",0.75,3,4,"2,4",0.5,2,4,"17,38","12,19","62,103",33,0.0,0,0,0,0.0,0,0,26,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.703540709228103,3.0394405067201813,3.851568626294118,6.62023664072456,-0.017080484596389025,1.6713222769485685,9.443618851739965,2,96
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Delaware Valley,"Bresnen, Ang",,,,37,37,114,34,43,37,14,3,6,10,0,1,11,2,15,0,0,1,0,0,0,0,0,0,0,0.429,81,126,15,1.0,0.377,0.711,79,50,4,0,0,3,1,5,0,133,0.97,4,0.75,7,3,17,38,"13,36",0.36,13,36,"27,65",0.42,27,65,"19,46",0.41,19,46,"1,1",1.0,1,1,0,0.0,0,0,"9,24","10,13","40,67",33,0.0,0,0,0,0.0,0,0,6,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8038268432069502,2.530291035059008,3.0170517419253775,4.274648403870304,2.7461623567749935,0.5937592299685703,7.601994308850998,3,94
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Widener,Katelyn Tong,,,,37,35,93,19,27,28,6,1,8,15,0,5,19,6,4,0,0,2,0,0,0,0,0,0,0,0.409,59,115,4,1.0,0.29,0.634,70,9,4,0,0,4,2,1,0,83,0.952,6,0.667,3,2,18,28,"12,31",0.39,12,31,"16,47",0.34,16,47,"10,24",0.42,10,24,"2,7",0.29,2,7,0,0.0,0,0,"12,29","3,5","26,54",56,0.0,0,0,7,0.0,0,0,4,18,0,39.0,1.0,2.0,1.0,2,0.0,1.0,0.0,0.0,0.0,17.2,19.0,13.0,4.0,7.0,8.0,0.0,0.0,5.15,89.0,96.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.438,21.0,22.0,0.0,"1,1","5,6","1,2",0,"1,2",0.7755824248970611,1.0028426200754892,2.078220247010545,5.838373895106475,0.40803379869151596,1.8252598550885684,5.957638546339032,4,93
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Eastern,Tori Hook,,,,41,41,120,26,39,37,11,0,5,7,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0.364,65,129,0,0.0,0.325,0.542,222,7,6,0,0,0,0,3,0,235,0.974,0,0.0,4,11,33,41,"9,42",0.21,9,42,"27,82",0.33,27,82,"18,55",0.33,18,55,"2,7",0.29,2,7,0,0.0,0,0,"6,18","11,13","39,85",25,0.0,0,0,0,0.0,0,0,6,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.546765738629478,1.7156518804011314,3.0170517419253775,3.4927856582522194,-0.442194767884294,-0.4838038170114278,5.833603534306917,5,93
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Lebanon Valley,Holly Grube,,,,44,44,140,30,63,29,11,4,3,14,0,3,11,5,11,2,2,0,0,0,0,1,1,2,0,0.51,91,159,13,0.846,0.45,0.65,65,68,7,0,0,11,5,4,0,140,0.95,16,0.688,3,5,34,31,"14,38",0.37,14,38,"35,83",0.42,35,83,"25,63",0.4,25,63,"1,5",0.2,1,5,0,0.0,0,0,"17,33","10,11","59,91",172,0.0,0,0,66,0.0,0,0,17,29,0,122.0,1.0,20.0,13.0,8,3.0,11.0,4.0,0.0,0.0,118.0,53.0,36.0,27.0,50.0,13.0,1.0,4.0,2.14,467.0,524.0,11.0,19.0,0.0,1.0,10.0,0.0,0.0,9.0,0.261,69.0,218.0,1.0,"7,9","3,20","2,3",0,"3,14",3.0891323660943115,2.1229714577300696,2.1825348575566377,1.929060167016049,1.8959337901991835,0.5937592299685703,5.812559325259873,6,92
mac,Middle Atlantic Conferences (MAC),2025-26,softball,York,Gretchen Barstad,,,,36,36,110,28,43,26,9,3,5,14,0,2,18,3,12,0,0,1,0,0,0,0,0,0,0,0.465,73,127,12,1.0,0.391,0.664,156,25,8,0,0,10,1,0,0,189,0.958,11,0.909,1,4,19,30,"23,44",0.52,23,44,"21,51",0.41,21,51,"12,32",0.38,12,32,"4,13",0.31,4,13,0,0.0,0,0,"11,23","3,6","36,58",14,0.0,0,0,0,0.0,0,0,7,16,0,82.0,1.0,7.0,5.0,5,0.0,3.0,0.0,1.0,0.0,58.1,58.0,43.0,30.0,28.0,13.0,1.0,4.0,5.16,257.0,297.0,9.0,2.0,0.0,3.0,4.0,1.0,0.0,13.0,0.319,38.0,100.0,0.0,"3,7","3,21","3,6",0,"2,9",1.8038268432069502,1.9193116690656005,1.8695910259183601,3.4927856582522194,2.1084909318431357,1.6713222769485685,5.715008174041206,7,91
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Book Allie,,,,49,49,150,32,63,40,15,3,2,8,0,6,7,2,3,0,4,3,0,0,0,0,0,0,0,0.461,90,171,3,1.0,0.42,0.6,286,11,6,0,0,0,0,8,0,303,0.98,0,0.0,9,6,43,38,"22,60",0.37,22,60,"37,84",0.44,37,84,"24,55",0.44,24,55,"1,4",0.25,1,4,"1,4",0.25,1,4,"14,25","10,16","54,94",12,0.0,0,0,0,0.0,0,0,24,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0891323660943115,2.326631246394539,3.329995573563655,1.147197421397964,0.19547665704756345,-0.021991082591428592,5.648208670963726,8,90
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Hood,Rebecca Gottleib,,,,39,39,114,31,47,31,15,1,3,30,0,0,7,5,9,1,0,2,0,0,0,0,0,0,0,0.527,73,146,10,0.9,0.412,0.64,35,23,1,0,0,22,2,0,0,59,0.983,24,0.917,6,3,27,30,"18,38",0.47,18,38,"23,46",0.5,23,46,"18,32",0.56,18,32,"1,2",0.5,1,2,0,0.0,0,0,"32,58","8,11","36,54",56,0.0,0,0,0,0.0,0,0,10,18,0,130.0,1.0,19.0,12.0,8,1.0,15.0,2.0,0.0,0.0,116.1,66.0,56.0,34.0,104.0,26.0,0.0,7.0,3.37,475.0,523.0,11.0,2.0,0.0,2.0,9.0,1.0,0.0,11.0,0.274,126.0,110.0,0.0,"2,6","2,12","1,6",0,"2,8",2.0608879477844226,2.2248013520623044,2.3911640786488224,1.929060167016049,1.4708195069112784,-0.021991082591428592,5.357137942187773,9,90
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Feaser Fallon,,,,48,49,142,32,50,40,6,3,3,12,0,1,22,2,2,1,9,2,0,0,0,0,0,1,0,0.401,71,166,3,0.667,0.352,0.5,11,28,1,0,0,14,3,1,0,40,0.975,17,0.824,4,6,46,30,"17,50",0.34,17,50,"31,91",0.34,31,91,"24,69",0.35,24,69,"1,5",0.2,1,5,"1,3",0.33,1,3,"10,23","19,27","58,104",59,0.0,0,0,4,0.0,0,0,33,29,0,127.0,1.0,20.0,11.0,4,0.0,7.0,2.0,0.0,0.0,111.2,56.0,44.0,37.0,65.0,30.0,2.0,1.0,2.76,455.0,511.0,1.0,6.0,0.0,3.0,8.0,0.0,0.0,17.0,0.279,127.0,131.0,0.0,"3,12","6,26","4,15","4,16","4,17",2.253683776217527,2.326631246394539,3.329995573563655,1.929060167016049,-0.017080484596389025,2.2870725895085675,5.168663562057128,10,89
mac,Middle Atlantic Conferences (MAC),2025-26,softball,FDU - Florham,Jada Lambright,,,,37,37,123,23,43,35,15,0,4,3,0,2,9,2,2,1,1,3,0,0,0,0,0,0,0,0.366,70,132,3,0.667,0.35,0.569,163,10,1,0,0,0,0,5,0,174,0.994,0,0.0,5,3,17,54,"20,57",0.35,20,57,"26,73",0.36,26,73,"18,46",0.39,18,46,"2,9",0.22,2,9,0,0.0,0,0,"4,14","7,11","41,79",26,0.0,0,0,0,0.0,0,0,11,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8038268432069502,1.4101621974044276,2.8084225208331923,2.710922912634134,-0.017080484596389025,0.2858840736885709,5.166759576113121,11,89
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Misericordia,Bridget Doherty,,,,42,40,147,49,55,17,5,2,1,11,0,3,21,3,24,1,2,3,0,0,0,0,0,1,0,0.421,67,166,25,0.96,0.374,0.456,81,2,2,0,0,0,0,0,0,85,0.976,0,0.0,16,6,28,31,"12,35",0.34,12,35,"21,62",0.34,21,62,"14,40",0.35,14,40,0,0.0,0,0,0,0.0,0,0,"33,65","7,11","37,69",40,0.0,0,0,0,0.0,0,0,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575010156939367,4.0577394500425275,0.9307595310035276,0.36533467577987905,4.659176631570566,2.1331350113685676,4.953417853026119,12,88
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Misericordia,Casey Funesti,,,,40,36,125,27,43,31,5,0,5,10,0,3,32,8,1,0,1,0,0,0,0,0,0,1,0,0.406,63,139,1,1.0,0.344,0.504,93,55,14,0,0,0,0,3,0,162,0.914,0,0.0,3,6,24,22,"13,37",0.35,13,37,"25,65",0.38,25,65,"25,49",0.51,25,49,"0,1",0.0,0,1,0,0.0,0,0,"12,24","8,15","42,71",231,0.0,0,0,2,0.0,0,0,10,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8038268432069502,1.817481774733366,2.3911640786488224,3.4927856582522194,-0.2296376262403415,3.826448370908565,4.8547562617295466,13,88
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Alvernia,B. Hauck,,,,38,38,118,31,43,32,12,5,2,18,1,1,12,5,10,1,1,3,0,0,0,0,0,1,0,0.443,71,141,11,0.909,0.364,0.602,63,2,3,0,0,0,0,0,0,68,0.956,0,0.0,1,8,24,40,"15,43",0.35,15,43,"25,67",0.37,25,67,"20,47",0.43,20,47,"0,2",0.0,0,2,0,0.0,0,0,"10,27","9,15","44,78",46,0.0,0,0,0,0.0,0,0,11,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8038268432069502,2.2248013520623044,2.4954786891949152,1.147197421397964,1.6833766485552308,0.7476968081085701,4.628015688189471,14,87
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Misericordia,Mackenzi Fizer,,,,43,40,134,34,44,39,16,1,2,10,0,6,22,7,5,2,3,2,0,1,0,0,0,0,0,0.395,68,156,7,0.714,0.328,0.507,110,65,7,0,0,0,0,4,0,182,0.962,0,0.0,5,2,12,52,"20,58",0.34,20,58,"27,75",0.36,27,75,"25,54",0.46,25,54,"0,1",0.0,0,1,0,0.0,0,0,"10,24","9,17","40,85",37,0.0,0,0,"0,1",0.0,0,1,8,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8680921193513182,2.530291035059008,3.2256809630175622,1.147197421397964,0.6205909403354685,2.2870725895085675,4.600181222622433,15,87
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Misericordia,Gianna Foreman,,,,34,30,95,15,28,26,5,0,6,13,0,0,23,8,2,0,0,1,0,0,0,0,0,2,0,0.376,51,109,2,1.0,0.295,0.537,2,0,0,0,0,0,0,0,0,2,1.0,0,0.0,2,6,21,19,"9,31",0.29,9,31,"15,51",0.29,15,51,"16,33",0.48,16,33,"1,1",1.0,1,1,0,0.0,0,0,"10,24","7,10","25,57",14,0.0,0,0,5,0.0,0,0,2,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8398477010414293,0.5955230427465508,1.8695910259183601,4.274648403870304,-0.017080484596389025,2.4410101676485674,4.3628001570750765,16,87
mac,Middle Atlantic Conferences (MAC),2025-26,softball,DeSales,Tori Kenney,,,,37,37,118,18,38,24,3,0,5,6,0,3,18,2,0,0,0,0,0,0,0,2,0,3,0,0.37,56,127,0,0.0,0.322,0.475,208,19,5,0,0,0,0,4,0,232,0.978,0,0.0,5,3,30,27,"13,45",0.29,13,45,"22,75",0.29,22,75,"14,46",0.3,14,46,"2,3",0.67,2,3,0,0.0,0,0,"13,27","4,10","30,75",43,0.0,0,0,0,0.0,0,0,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48250046248511,0.9010127257432545,1.6609618048261752,3.4927856582522194,-0.442194767884294,1.6713222769485685,4.224509525705624,17,86
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Hood,Kara Heidlauf,,,,32,30,87,18,33,23,9,0,5,11,0,0,12,2,0,0,0,2,0,0,0,0,0,1,0,0.44,57,100,0,0.0,0.379,0.655,43,2,3,0,0,0,0,1,0,48,0.938,0,0.0,6,1,17,23,"5,23",0.22,5,23,"18,47",0.38,18,47,"10,25",0.4,10,25,"1,2",0.5,1,2,0,0.0,0,0,"12,22","7,11","28,51",1,0.0,0,0,"1,1",1.0,1,1,6,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1611740817632694,0.9010127257432545,1.5566471942800826,3.4927856582522194,-0.442194767884294,0.7476968081085701,4.153850024712864,18,86
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Widener,Elizabeth Carney,,,,39,39,129,27,42,20,7,3,2,13,0,0,16,6,13,5,0,0,0,0,0,0,0,0,0,0.387,61,142,18,0.722,0.326,0.473,59,47,7,0,0,0,0,3,0,113,0.938,0,0.0,5,6,21,43,"17,38",0.45,17,38,"22,61",0.36,22,61,"16,44",0.36,16,44,"3,9",0.33,3,9,0,0.0,0,0,"17,51","2,5","36,64",25,0.0,0,0,0,0.0,0,0,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7395615670625821,1.817481774733366,1.243703362641805,1.147197421397964,2.321048073487088,1.363447120668569,3.743614860606966,19,85
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Lebanon Valley,Erin Pattillo,,,,41,39,98,21,39,20,4,0,0,4,0,2,7,3,30,1,6,3,0,0,0,0,1,0,0,0.421,43,113,31,0.968,0.398,0.439,60,27,5,0,0,0,0,2,0,92,0.946,0,0.0,6,3,22,31,"16,39",0.41,16,39,"16,38",0.42,16,38,"12,31",0.39,12,31,"1,3",0.33,1,3,0,0.0,0,0,"14,30","10,11","33,49",11,0.0,0,0,"1,1",1.0,1,1,12,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.546765738629478,1.2065024087399585,1.243703362641805,-0.416528069838206,5.934519481434281,-0.021991082591428592,3.6500668363205784,20,85
mac,Middle Atlantic Conferences (MAC),2025-26,softball,York,Emma Wade,,,,34,34,105,18,35,27,9,0,3,9,0,3,9,1,2,0,0,2,0,0,0,1,0,2,0,0.395,53,119,2,1.0,0.333,0.505,104,16,3,12,1,58,9,0,0,123,0.976,67,0.866,5,1,25,33,"15,44",0.34,15,44,"24,62",0.39,24,62,"15,42",0.36,15,42,"2,9",0.22,2,9,0,0.0,0,0,"7,19","8,10","40,69",14,0.0,0,0,0,0.0,0,0,8,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2897046340520055,0.9010127257432545,1.9739056364644525,1.929060167016049,-0.017080484596389025,0.2858840736885709,3.6066124094017793,21,85
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Eastern,Mackenzie Laub,,,,40,39,115,31,40,26,8,1,2,12,0,1,11,3,1,0,7,3,0,0,0,0,0,1,0,0.405,56,138,1,1.0,0.348,0.487,55,4,2,0,0,0,0,0,0,61,0.967,0,0.0,6,10,31,37,"9,38",0.24,9,38,"25,74",0.34,25,74,"17,49",0.35,17,49,"2,4",0.5,2,4,0,0.0,0,0,"6,17","7,8","45,89",14,0.0,0,0,0,0.0,0,0,16,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.611031014773846,2.2248013520623044,1.8695910259183601,1.147197421397964,-0.2296376262403415,0.5937592299685703,3.5936888263530036,22,84
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Alvernia,A. Fitzgeral,,,,38,38,129,32,46,12,10,3,0,19,0,0,15,7,29,2,2,0,0,0,0,1,0,1,0,0.439,62,150,31,0.935,0.357,0.481,52,3,3,0,0,0,0,0,0,58,0.948,0,0.0,3,4,21,46,"8,31",0.26,8,31,"16,48",0.33,16,48,"9,26",0.35,9,26,"3,4",0.75,3,4,0,0.0,0,0,"28,62","5,7","25,54",12,0.0,0,0,0,0.0,0,0,5,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9966226716400544,2.326631246394539,0.4091864782730652,-0.416528069838206,5.721962339790328,1.2095095425285691,3.5572551330503277,23,84
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Stevens,Jessica Guerrero,,,,35,35,117,31,42,18,11,1,2,10,0,5,4,1,2,0,1,1,0,0,0,0,0,0,0,0.429,61,134,2,1.0,0.359,0.521,58,75,11,0,0,0,0,4,0,144,0.924,0,0.0,5,6,31,37,"10,32",0.31,10,32,"18,57",0.32,18,57,"16,44",0.36,16,44,"1,5",0.2,1,5,0,0.0,0,0,"24,50","7,10","32,62",6,0.0,0,0,0,0.0,0,0,7,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7395615670625821,2.2248013520623044,1.03507414154962,1.147197421397964,-0.017080484596389025,-0.4838038170114278,3.449376778994187,24,84
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Widener,Sam Mccarthy,,,,33,31,83,18,27,17,7,0,3,12,0,0,8,4,13,3,0,1,0,0,0,0,0,0,0,0.406,43,96,16,0.813,0.325,0.518,182,5,3,0,0,0,0,7,0,190,0.984,0,0.0,5,6,22,21,"9,24",0.38,9,24,"11,44",0.25,11,44,"7,27",0.26,7,27,"0,2",0.0,0,2,0,0.0,0,0,"9,19","4,8","26,50",35,0.0,0,0,0,0.0,0,0,6,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7755824248970611,0.9010127257432545,0.9307595310035276,1.929060167016049,2.321048073487088,0.13194649554857113,3.4044775036853014,25,83
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Widener,Kaelin Kuester,,,,39,37,107,16,37,24,8,0,3,16,0,1,16,4,3,1,0,2,0,0,0,1,0,2,0,0.429,54,126,4,0.75,0.346,0.505,58,9,3,4,0,29,1,1,0,70,0.957,30,0.967,0,2,23,33,"10,33",0.3,10,33,"24,63",0.38,24,63,"17,41",0.41,17,41,"3,8",0.38,3,8,0,0.0,0,0,"8,24","6,9","33,67",45,0.0,0,0,2,0.0,0,0,6,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4182351863407416,0.6973529370787853,1.6609618048261752,1.929060167016049,0.19547665704756345,1.363447120668569,3.262755059423454,26,83
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Delaware Valley,"Ripka, Sierr",,,,37,37,127,32,39,20,3,4,0,10,0,0,11,4,18,3,2,2,0,0,0,0,0,1,0,0.353,50,141,21,0.857,0.307,0.394,69,2,2,0,0,0,0,1,0,73,0.973,0,0.0,6,10,37,35,"7,32",0.22,7,32,"17,59",0.29,17,59,"11,31",0.35,11,31,"0,2",0.0,0,2,0,0.0,0,0,"23,53","9,11","38,66",59,0.0,0,0,0,0.0,0,0,13,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.546765738629478,2.326631246394539,1.243703362641805,-0.416528069838206,3.383833781706851,0.5937592299685703,3.209762598952182,27,83
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Stevens,Allison Mitloff,,,,39,39,111,27,53,15,5,2,0,6,0,0,10,2,17,6,3,0,0,0,0,0,0,1,0,0.504,62,120,23,0.739,0.477,0.559,64,2,1,0,0,0,0,0,0,67,0.985,0,0.0,2,3,28,20,"15,32",0.47,15,32,"30,56",0.54,30,56,"20,37",0.54,20,37,"2,6",0.33,2,6,0,0.0,0,0,"19,34","2,5","40,61",33,0.0,0,0,0,0.0,0,0,10,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446479604650631,1.817481774733366,0.7221303099113426,-0.416528069838206,3.1712766400628984,0.4398216518285706,3.2000076713969414,28,82
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Hood,Jocelyn Pfleiger,,,,40,40,120,11,42,23,8,0,3,17,0,1,12,3,1,0,0,3,0,0,0,1,0,2,0,0.426,59,141,1,1.0,0.35,0.492,235,6,4,0,0,0,0,2,0,245,0.984,0,0.0,1,4,26,41,"14,40",0.35,14,40,"23,62",0.37,23,62,"15,38",0.39,15,38,"0,2",0.0,0,2,0,0.0,0,0,"11,30","5,10","41,76","0,1",0.0,0,1,"1,1",1.0,1,1,7,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7395615670625821,0.18820346541761226,1.5566471942800826,1.929060167016049,-0.2296376262403415,0.7476968081085701,3.1849181103900612,29,82
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Delaware Valley,"Bockrath, To",,,,37,37,105,19,33,24,9,0,3,13,0,0,14,7,0,0,0,1,0,0,0,0,0,2,0,0.387,51,119,0,0.0,0.314,0.486,58,89,23,0,0,0,0,8,0,170,0.865,0,0.0,5,5,18,35,"10,37",0.27,10,37,"22,61",0.36,22,61,"14,42",0.33,14,42,"0,2",0.0,0,2,0,0.0,0,0,"7,22","9,14","31,64",28,0.0,0,0,0,0.0,0,0,1,23,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.1611740817632694,1.0028426200754892,1.6609618048261752,1.929060167016049,-0.442194767884294,1.0555719643885695,3.100987873652094,30,82
