conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Sydney Landauer,,,,20,18,0.0,6.0,0.0,0.0,0.0,2.0,20.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,18.0,4.0,1068:00,140.0,0.0,1.0,,,,,,,,,,,,,,,79.0,100.0,12.0,112.0,58.0,54.0,0.79,5.100250991254789,3.356125276992607,7.088146542239528,0.4268215018691115,-0.2842925799617795,0.9211443999913372,0.0,12.421154708992209,1,99
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Fiona Lewis,,,,20,20,0.0,2.0,0.0,0.0,0.0,4.0,15.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,12.0,15.0,1077:00,215.0,0.0,1.0,,,,,,,,,,,,,,,107.0,137.0,5.0,81.0,17.0,64.0,0.781,3.5237327220971917,4.084243490867426,1.7258764916523885,1.8357468478448193,1.3066115333405477,0.30062665338187283,0.0,8.821697911950665,2,95
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Shoshi Henderson,,,,20,18,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,38.0,9.0,1102:00,208.0,0.0,1.0,,,,,,,,,,,,,,,46.0,59.0,4.0,75.0,47.0,28.0,0.78,3.218600153873141,1.463017920918079,5.64948872378932,2.0236035606415803,0.43884565335746006,2.989536888689552,0.0,7.886576605984018,3,93
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Occidental,Maeve Moylan,,,,18,18,0.0,7.0,0.0,0.0,1.0,0.0,14.0,2.0,5.0,3.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,131.0,47.0,33.0,1080:00,41.0,0.0,1.0,,,,,,,,,,,,,,,70.0,93.0,15.0,68.0,26.0,42.0,0.753,2.862612157611748,2.482383420342825,2.9029601612934677,2.9628871246253854,3.90990917328981,3.9203135086037486,0.0,7.3743044927244945,4,92
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,California Lutheran,Malina Diaz,,,,17,17,0.0,13.0,0.0,0.0,0.0,4.0,51.0,0.0,10.0,1.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,60.0,29.0,18.0,1003:00,154.0,0.0,1.0,,,,,,,,,,,,,,,107.0,125.0,29.0,73.0,11.0,62.0,0.856,3.116889297798457,3.9386198480924617,0.9411540452250025,2.3053886298367217,1.7404944733320913,2.0587602687753552,0.0,7.316853831370429,5,91
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Pomona-Pitzer,Caili Cross,,,,20,11,0.0,4.0,0.0,0.0,0.0,2.0,14.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,11.0,12.0,618:00,106.0,0.0,1.0,,,,,,,,,,,,,,,63.0,73.0,8.0,60.0,20.0,40.0,0.863,2.455768733313013,2.336759777567861,2.1182377148660816,2.681102055430244,0.8727285933490038,0.19720702894696207,0.0,6.795209338828548,6,90
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Claremont-Mudd-Scripps,Grace Minturn,,,,18,18,0.0,5.0,0.0,0.0,0.0,1.0,21.0,0.0,8.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,27.0,11.0,1052:00,79.0,0.0,1.0,,,,,,,,,,,,,,,65.0,80.0,10.0,63.0,24.0,39.0,0.813,2.6083350174250386,2.2639479561803793,2.641386012484339,1.272176709454536,0.7281009466851559,1.8519210199055338,0.0,6.1277784799880735,7,89
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Occidental,Olivia Okamoto,,,,18,18,0.0,3.0,0.0,0.0,0.0,4.0,13.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,25.0,4.0,1077:00,90.0,0.0,1.0,,,,,,,,,,,,,,,76.0,86.0,6.0,71.0,12.0,59.0,0.884,3.0151784417237733,3.7201843839300164,1.0719411196295667,-0.32460534931793256,-0.2842925799617795,1.6450817710357124,0.0,5.900982645410284,8,89
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Occidental,Gabriella Acker,,,,18,17,0.0,8.0,0.0,0.0,0.0,3.0,18.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,25.0,13.0,1016:00,98.0,0.0,1.0,,,,,,,,,,,,,,,41.0,58.0,16.0,55.0,31.0,24.0,0.707,2.2014915931263035,1.1717706353681516,3.5568955333162897,0.6146782146658725,1.0173562400128517,1.6450817710357124,0.0,5.460312602731561,9,88
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wlax,Redlands,Ruby Czajkowski,,,,17,17,0.0,11.0,0.0,0.0,0.0,2.0,29.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,40.0,15.0,903:00,125.0,0.0,1.0,,,,,,,,,,,,,,,67.0,89.0,20.0,62.0,17.0,45.0,0.753,2.5574795893876967,2.7008188845052703,1.7258764916523885,1.1782483530561556,1.3066115333405477,3.196376137559373,0.0,5.393155752043846,10,87
