conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,J Rodriguez,J,Rodriguez,25,27.1,19.6,3.8,1.9,3.0,0.4,1.4
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,L Morse,L,Morse,27,31.1,18.9,8.2,1.0,0.9,0.7,2.5
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,M Lawson,M,Lawson,26,32.3,17.2,4.3,2.6,1.6,0.2,3.5
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Dunkle,J,Dunkle,27,29.8,17.0,8.3,1.0,0.7,0.7,1.9
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Epps,B,Epps,27,31.6,16.9,6.3,2.4,1.6,0.1,2.1
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Rozich,T,Rozich,27,33.8,16.6,6.9,4.4,1.3,0.2,2.4
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,M Rainey,M,Rainey,27,33.1,16.1,6.6,1.4,0.7,1.8,2.1
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Giannetta,J,Giannetta,25,32.2,16.0,4.5,2.4,1.1,0.0,2.4
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,D Cunningham Jr,D Cunningham,Jr,26,32.5,15.5,5.2,2.1,1.3,0.4,3.4
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,K Claar,K,Claar,26,29.9,15.2,5.8,2.3,2.5,0.4,1.8
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Byer,J,Byer,26,26.8,15.0,5.8,2.0,2.1,0.2,1.3
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,T Tinch,T,Tinch,24,26.3,15.0,5.1,1.1,0.5,0.1,1.5
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,R Daniels,R,Daniels,19,24.7,14.8,2.1,1.4,0.8,0.5,1.9
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,N Frye,N,Frye,17,27.9,14.2,5.6,0.8,0.8,0.1,1.8
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,D Bass-Briscoe,D,Bass-Briscoe,25,28.3,14.2,5.1,3.8,1.6,0.3,2.8
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,A Jones,A,Jones,26,27.0,13.4,4.2,1.6,1.0,0.0,2.2
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,M Marinchak,M,Marinchak,27,28.9,13.0,3.1,1.2,1.2,0.3,1.1
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,S Jenkins,S,Jenkins,25,30.1,12.9,9.7,1.0,1.2,0.4,1.8
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,T Pavihi,T,Pavihi,22,27.7,12.5,6.6,1.5,0.6,0.4,2.5
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,B Cage,B,Cage,26,24.1,12.0,1.5,1.4,1.0,0.2,1.6
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,L Golle,L,Golle,26,31.7,12.0,2.8,2.4,0.5,0.0,1.4
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,X Norris,X,Norris,25,25.0,12.0,3.4,1.9,1.4,0.2,1.8
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,N Edwards,N,Edwards,27,31.5,11.5,4.9,1.7,1.1,0.2,1.1
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,M McDonough,M,McDonough,27,32.0,11.2,2.6,3.2,0.8,0.1,1.1
